,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,TRUE,PoW/PoS,41.99995383,42
365,365Coin,X11,TRUE,PoW/PoS,,2300000000
404,404Coin,Scrypt,TRUE,PoW/PoS,1055184902,532000000
611,SixEleven,SHA-256,TRUE,PoW,,611000
808,808,SHA-256,TRUE,PoW/PoS,0,0
1337,EliteCoin,X13,TRUE,PoW/PoS,29279424623,3.14E+11
2015,2015 coin,X11,TRUE,PoW/PoS,,0
BTC,Bitcoin,SHA-256,TRUE,PoW,17927175,21000000
ETH,Ethereum,Ethash,TRUE,PoW,107684222.7,0
LTC,Litecoin,Scrypt,TRUE,PoW,63039243.3,84000000
DASH,Dash,X11,TRUE,PoW/PoS,9031294.376,22000000
XMR,Monero,CryptoNight-V7,TRUE,PoW,17201143.14,0
ETC,Ethereum Classic,Ethash,TRUE,PoW,113359703,210000000
ZEC,ZCash,Equihash,TRUE,PoW,7383056.25,21000000
BTS,Bitshares,SHA-512,TRUE,PoS,2741570000,3600570502
DGB,DigiByte,Multiple,TRUE,PoW,11406219141,21000000000
BTCD,BitcoinDark,SHA-256,TRUE,PoW/PoS,1288862,22000000
CRAIG,CraigsCoin,X11,TRUE,PoS,,30000000
XBS,Bitstake,X11,TRUE,PoW/PoS,0,1300000
XPY,PayCoin,SHA-256,TRUE,PoS,11995334.88,12500000
PRC,ProsperCoin,Scrypt,TRUE,PoW,5768310,21000000
YBC,YbCoin,Multiple,TRUE,PoS,,200000000
DANK,DarkKush,X13,TRUE,PoW/PoS,,3000000
GIVE,GiveCoin,X11,TRUE,PoW,,500000000
KOBO,KoboCoin,X15,TRUE,PoW/PoS,25542535.59,350000000
DT,DarkToken,NIST5,TRUE,PoW/PoS,,0
CETI,CETUS Coin,Scrypt,TRUE,PoW/PoS,,0
SPR,Spreadcoin,X11,TRUE,PoW,11149734,20000000
WOLF,Insanity Coin,X11,TRUE,PoW,,50000000
ACOIN,ACoin,SHA-256,TRUE,PoW,0,1600000
AERO,Aero Coin,X13,TRUE,PoS,0,7000000
ALF,AlphaCoin,Scrypt,TRUE,PoW,,210182000
AGS,Aegis,X13,TRUE,PoS,,0
AMC,AmericanCoin,Scrypt,TRUE,PoW,,168000000
ALN,AlienCoin,Scrypt,TRUE,PoW,,200000000
APEX,ApexCoin,X13,TRUE,PoW/PoS,0,6000000
ARCH,ArchCoin,Scrypt,TRUE,PoS,0,16403135
ARG,Argentum,Scrypt,TRUE,PoW,12205795.44,64000000
ARI,AriCoin,Scrypt,TRUE,PoW,,322649400
AUR,Aurora Coin,Scrypt,TRUE,PoW/PoS,18135099.99,16768584
BET,BetaCoin,SHA-256,TRUE,PoW,0,32000000
BEAN,BeanCash,SHA-256,TRUE,PoW/PoS,,50000000000
BLU,BlueCoin,Scrypt,TRUE,PoW/PoS,635423900,0
BQC,BQCoin,Scrypt,TRUE,PoW,,88000000
XMY,MyriadCoin,Multiple,TRUE,PoW,1688254250,2000000000
MOON,MoonCoin,Scrypt,TRUE,PoW,88,3.84E+11
ZET,ZetaCoin,SHA-256,TRUE,PoW,170204389.8,169795588
SXC,SexCoin,Scrypt,TRUE,PoW,128940951.2,250000000
QTL,Quatloo,Scrypt,TRUE,PoW,7357794.793,100000000
ENRG,EnergyCoin,Scrypt,TRUE,PoW/PoS,123062801.1,0
QRK,QuarkCoin,Quark,TRUE,PoW,259557164.9,247000000
RIC,Riecoin,Groestl,TRUE,PoW,49548585.14,84000000
DGC,Digitalcoin ,Scrypt,TRUE,PoW,33442988.34,48166000
LIMX,LimeCoinX,X11,TRUE,PoW,0,21000000
BTB,BitBar,Scrypt,TRUE,PoW/PoS,42579.4769,500000
CAIX,CAIx,Scrypt,TRUE,PoS,,0
BTMK,BitMark,Scrypt,TRUE,PoW,0,27580000
BUK,CryptoBuk,Scrypt,TRUE,PoW/PoS,,100000000
CACH,Cachecoin,Scrypt,TRUE,PoW,,2000000000
CAP,BottleCaps,Scrypt,TRUE,PoW/PoS,,47433600
CASH,CashCoin,Scrypt,TRUE,PoW/PoS,0,47433600
CAT,Catcoin,Scrypt,TRUE,PoW,7219956.646,21000000
CBX,CryptoBullion,Scrypt,TRUE,PoW/PoS,1039116.651,1000000
CCN,CannaCoin,Scrypt,TRUE,PoW,4703879.518,13140000
CIN,CinderCoin,Multiple,TRUE,PoW/PoS,0,114000000
CINNI,CINNICOIN,Scrypt,TRUE,PoW,,15000000
CLR,CopperLark,SHA-256,TRUE,PoW,,27200000
CMC,CosmosCoin,Scrypt,TRUE,PoW/PoS,,100000000
CNC,ChinaCoin,Scrypt,TRUE,PoW,,462500000
CNL,ConcealCoin,X11,TRUE,PoW,,8500000
COMM,Community Coin,Scrypt,TRUE,PoW/PoS,,1000000000
COOL,CoolCoin,Scrypt,TRUE,PoS,0,100000000
CRACK,CrackCoin,X11,TRUE,PoW,,6000000
CRYPT,CryptCoin,X11,TRUE,PoW,4996986.206,18000000
CSC,CasinoCoin,Scrypt,TRUE,PoC,39999997300,40000000000
DEM,eMark,SHA-256,TRUE,PoW/PoS,0,0
DMD,Diamond,Groestl,TRUE,PoW/PoS,3304487.747,4380000
XVG,Verge,Multiple,TRUE,PoW,15929530669,16555000000
DRKC,DarkCash,X11,TRUE,PoW/PoS,0,3720000
DSB,DarkShibe,Scrypt,TRUE,PoW,0,2043962
DVC,DevCoin,SHA-256,TRUE,PoW,18773857500,21000000000
